EPOCH 	O-C	HJDmin
		
-599	0.0027	 44513.3040
-507	0.0052	 44731.5790
-459	0.0159	 44845.4710
-448	-0.0049	 44871.5480
-443	0.0115	 44883.4270
-435	0.0102	 44902.4060
-435	0.0112	 44902.4070
-330	0.0109	 45151.5220
-306	0.0053	 45208.4570
-306	0.0093	 45208.4610
-306	0.0093	 45208.4610
-306	0.0103	 45208.4620
-306	0.0113	 45208.4630
-306	0.0133	 45208.4650
-306	0.0133	 45208.4650
-172	0.0236	 45526.3940
-158	0.0113	 45559.5970
-8	0.0142	 45915.4790
-8	0.0192	 45915.4840
-8	0.0242	 45915.4890
-8	0.0242	 45915.4890
0	0.0200	 45934.4650
21	0.0299	 45984.2980
24	0.0204	 45991.4060
24	0.0204	 45991.4060
40	0.0219	 46029.3680
153	0.0214	 46297.4630
161	0.0232	 46316.4450
314	0.0245	 46679.4430
314	0.0275	 46679.4460
314	0.0275	 46679.4460
314	0.0315	 46679.4500
314	0.0365	 46679.4550
411	0.0314	 46909.5850
462	0.0245	 47030.5770
600	0.0288	 47357.9900
612	0.0315	 47386.4630
626	0.0231	 47419.6700
797	0.0430	 47825.3920
918	0.0352	 48112.4600
1071	0.0416	 48475.4630
1280	0.0274	 48971.3070
1280	0.0404	 48971.3200
1385	0.0401	 49220.4350
1554	0.0070	 49621.3590
1747	0.0183	 50079.2680
1836	0.0324	 50290.4370
1997	0.0336	 50672.4150
2029	0.0267	 50748.3290
2040	0.0019	 50774.4020
2319	0.0229	 51436.3580
2448	0.0259	 51742.4170
2596	0.0199	 52093.5450
2614	0.0194	 52137.4360
2757	0.0241	 52475.5260
2902	0.0216	 52819.5400
2947	0.0309	 52926.3130
3063	0.0228	 53201.5180
3073	0.0282	 53226.4347
3098	0.0232	 53284.5568
3244	0.0175	 53630.9401
3379	0.0154	 53951.2291
3515	0.0105	 54273.8879
4022	0.0060	 55476.7546
4024	0.0014	 55481.4950
4322	-0.0034	 56188.5033
